Entity,Code,Day,daily_vaccinations
Bureau of Prisons,,2021-01-13,1031
Bureau of Prisons,,2021-01-14,728
Bureau of Prisons,,2021-01-15,674
Bureau of Prisons,,2021-01-16,564
Bureau of Prisons,,2021-01-17,499
Bureau of Prisons,,2021-01-18,455
Bureau of Prisons,,2021-01-19,424
Bureau of Prisons,,2021-01-20,483
Bureau of Prisons,,2021-01-21,674
Bureau of Prisons,,2021-01-22,661
Bureau of Prisons,,2021-01-23,918
Bureau of Prisons,,2021-01-24,989
Bureau of Prisons,,2021-01-25,995
Bureau of Prisons,,2021-01-26,1126
Bureau of Prisons,,2021-01-27,1179
Bureau of Prisons,,2021-01-28,1097
Bureau of Prisons,,2021-01-29,1206
Bureau of Prisons,,2021-01-30,1086
Bureau of Prisons,,2021-01-31,1029
Bureau of Prisons,,2021-02-01,989
Bureau of Prisons,,2021-02-02,977
Bureau of Prisons,,2021-02-03,990
Bureau of Prisons,,2021-02-04,1097
Bureau of Prisons,,2021-02-05,1201
Bureau of Prisons,,2021-02-06,1239
Bureau of Prisons,,2021-02-07,1293
Bureau of Prisons,,2021-02-08,1293
Bureau of Prisons,,2021-02-09,1242
Bureau of Prisons,,2021-02-10,1214
Bureau of Prisons,,2021-02-11,1140
Bureau of Prisons,,2021-02-12,1065
Bureau of Prisons,,2021-02-13,1044
Bureau of Prisons,,2021-02-14,1033
Bureau of Prisons,,2021-02-15,1071
Bureau of Prisons,,2021-02-16,1007
Bureau of Prisons,,2021-02-17,838
Bureau of Prisons,,2021-02-18,696
Bureau of Prisons,,2021-02-19,614
Bureau of Prisons,,2021-02-20,592
Bureau of Prisons,,2021-02-21,672
Bureau of Prisons,,2021-02-22,646
Bureau of Prisons,,2021-02-23,665
Bureau of Prisons,,2021-02-24,731
Bureau of Prisons,,2021-02-25,864
Bureau of Prisons,,2021-02-26,1069
Bureau of Prisons,,2021-02-27,1166
Bureau of Prisons,,2021-02-28,1145
Bureau of Prisons,,2021-03-01,1134
Bureau of Prisons,,2021-03-02,1180
Bureau of Prisons,,2021-03-03,1288
Bureau of Prisons,,2021-03-04,1611
Bureau of Prisons,,2021-03-05,1819
Bureau of Prisons,,2021-03-06,1789
Bureau of Prisons,,2021-03-07,1699
Bureau of Prisons,,2021-03-08,1699
Bureau of Prisons,,2021-03-09,1648
Bureau of Prisons,,2021-03-10,1501
Bureau of Prisons,,2021-03-11,1407
Bureau of Prisons,,2021-03-12,1238
Bureau of Prisons,,2021-03-13,1275
Bureau of Prisons,,2021-03-14,1216
Bureau of Prisons,,2021-03-15,1216
Bureau of Prisons,,2021-03-16,1214
Bureau of Prisons,,2021-03-17,1242
Bureau of Prisons,,2021-03-18,1139
Bureau of Prisons,,2021-03-19,1078
Bureau of Prisons,,2021-03-20,1046
Bureau of Prisons,,2021-03-21,1168
Bureau of Prisons,,2021-03-22,1196
Bureau of Prisons,,2021-03-23,1171
Bureau of Prisons,,2021-03-24,1199
Bureau of Prisons,,2021-03-25,1571
Bureau of Prisons,,2021-03-26,1796
Bureau of Prisons,,2021-03-27,1879
Bureau of Prisons,,2021-03-28,1846
Bureau of Prisons,,2021-03-29,1819
